review_order,open_id,first_year,last_0101_year,year_count,latest_any_panel_year,identity_status,manual_classification,likely_entity_candidate,candidate_status,candidate_evidence_years,candidate_kedi_statuses,latest_panel_count,latest_row_count,latest_nonzero_measure_count,latest_department_status,department_examples,safe_join_action,evidence_summary
15,6505783319,2009,2015,7,2015,unmatched,confirmed_identity_closed_school_residual_id,동덕여자대학교 여성개발대학원,confirmed_final_manual_review_identity,2009|2010|2011|2012|2013|2014|2015,폐교|2010 KEDI 후보|공식 설립 이력,5,52,6,표지 없음,국제컨벤션ㆍ이벤트학과|문예창작학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,최종 수동검토에서 동덕여자대학교 여성개발대학원으로 확정했다. 2010년 KEDI 폐교 후보와 국제컨벤션ㆍ이벤트학과·문예창작학과 조합이 일치한다. 동덕여자대학교 공식 연혁은 여성개발대학원 설립과 구성 학과를 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
16,6724196135,2009,2015,7,2021,unmatched,confirmed_identity_closed_school_residual_id,인하대학교국제통상물류대학원,confirmed_exact_longitudinal_metrics_and_closed_status,2009|2010|2011|2012|2013|2014|2015,폐교|2021 학과상태 폐과,2,21,0,폐과,교통물류학과|국제통상학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009~2015년 EDSS의 인천 남구 대학원 행으로, 학과 수·입학·재적·졸업·성별·교원·직원 값이 KEDI 인하대학교국제통상물류대학원 폐교 행과 모든 연도에 정확히 일치한다. 2009~2012년에는 잔존 학생·졸업생 실적이 있고 2013~2015년 핵심 값은 모두 0이다. 2021년 대학정보공시에는 성적분포 9행과 장학금 12행만 남아 있으며 모든 측정값이 0이고 교통물류학과·국제통상학과는 모두 폐과다. 인하대학교 공식 자료에서 국제통상물류대학원과 물류전문대학원이 동시에 별도 기관으로 기재되므로 물류전문대학원 OpenID 7490314424와 자동 조인하지 않는다."
17,6924725592,2009,2015,7,2023,unmatched,confirmed_identity_merger_residual_predecessor_id,인천전문대학,confirmed_longitudinal_metrics_and_official_merger,2009|2010|2011|2012|2013|2014|2015,기존|폐교|2010-03-01 인천대학교와 통합,1,1,0,표지 없음,E-비즈니스과|건축과|경영과|기계과|기계설계과|디지털정보전자과|메카트로닉스전공|무도경호과,link_successor_open_id_3512490093_keep_school_type_metrics_separate,"2009~2015년 EDSS의 인천 남구 공립 전문대학 행이다. 2010~2014년 재적학생·졸업생과 성별 세부값이 KEDI 인천전문대학 폐교 행과 연도별로 정확히 일치하고, 2015년에는 양쪽 모두 0이다. KEDI가 과거 연도에도 2018년 변경된 미추홀구 명칭을 적용하고 일부 학과 수가 1개씩 달라 자동 매칭이 실패했다. 인천대학교 공식 연혁의 2010-03-01 인천전문대학 통합 출범을 근거로 후속 OpenID 3512490093과 이력만 연결한다. 기존 전문대 잔존 코호트가 2014년까지 별도 집계되므로 두 ID와 학제별 실적은 분리 보존한다."
18,7230894923,2009,2015,7,2015,unmatched,confirmed_identity_closed_school_residual_id,백석대학교 문헌정보대학원,confirmed_unique_department_signature_location_and_official_closure,2009|2010|2011|2012|2013|2014|2015,폐교|2005-10-01 폐원|학과상태 폐과,10,162,6,표지 없음,문헌정보교육학전공|문헌정보학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009~2015년 EDSS의 서울 서초구 대학원 행으로, KEDI 백석대학교 문헌정보대학원 폐교 행과 지역·학교유형·주야간 및 핵심 실적값이 일치한다. 문헌정보교육학전공과 문헌정보학전공의 정확한 학과명 조합은 이 OpenID에서만 관측되고, 두 학과 모두 대학정보공시에서 폐과로 표시된다. 실질 학생·졸업·교직원·학과 수는 전 기간 0이며, 2015년 비영 값은 학교수·야간학교수·공학학교수 같은 집계용 표시값뿐이다. 백석대학교 대학원 학칙 부칙과 공식 연혁은 문헌정보대학원이 2005-10-01 폐원했음을 명시한다. 공식 자료에 직접 지정된 후속 기관은 없으므로 다른 OpenID와 자동 조인하지 않는다."
19,8145061492,2009,2015,7,2015,unmatched,confirmed_identity_closed_school_residual_id,경기대학교 전통예술대학원,confirmed_exact_longitudinal_kedi_name_metrics_and_closed_departments,2009|2010|2011|2012|2013|2014|2015,폐교|학과상태 폐과,5,52,7,표지 없음,고미술감정전공|귀금속공예전공|도자공예전공|문인화전공|문화재보존처리전공|서예전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,"2009~2015년 EDSS의 서울 서대문구 야간 대학원 행으로, KEDI에는 같은 기간 매년 경기대학교 전통예술대학원이 동일 지역·학교유형·주야간·본교 속성의 폐교 행으로 존재한다. EDSS와 KEDI의 연도별 졸업생 수 8·0·1·1·0·0·0도 정확히 일치한다. 고미술감정·귀금속공예·도자공예·문인화·문화재보존처리·서예 전공은 공시 패널에서 폐과로 표시된다. 2015년 신규 학생·입학·졸업·교직원 활동은 0이지만 학교수 계열 집계 표시 6개와 문학 전문학위 누계수여인원 1명이 잔존한다. 미술·디자인대학원 OpenID 3227136850 및 예술대학원 OpenID 6763784468과 학과 계보상 관련 가능성은 있으나, 공식적인 OpenID 대응 근거가 없으므로 자동 조인하지 않는다."
20,9152068436,2009,2015,7,2015,unmatched,confirmed_identity_name_change_predecessor_id,백석대학교 기독신학대학원,confirmed_exact_longitudinal_metrics_and_official_name_change,2009|2010|2011|2012|2013|2014|2015,폐교|2009-03-01 신학대학원으로 명칭변경,10,162,6,표지 없음,목회학전공,link_successor_open_id_9246115267_keep_transition_metrics_separate,"2009~2015년 EDSS의 서울 서초구 대학원 행으로, KEDI 백석대학교 기독신학대학원 폐교 행과 지역·학교유형·주야간 및 연도별 졸업생 수 224·0·0·0·0·0·0이 정확히 일치한다. 목회학전공은 공시 패널에서 폐과로 표시된다. 백석대학교 공식 대학원 연혁과 학위수여 규정 부칙은 2009-03-01 기독신학대학원을 신학대학원으로 명칭 변경했음을 명시한다. 후속 OpenID 9246115267은 같은 2009년에 입학생 238명과 재적학생 927명을 담고, 구 ID는 졸업생 224명을 담으므로 전환기 실적은 분리 보존한다. 2015년의 비영 값 6개는 모두 학교수 계열 집계 표시다."
21,4708137869,2009,2016,6,2016,unmatched,confirmed_identity_closed_name_change_predecessor_id,우송대학교 공학대학원,confirmed_kedi_metric_department_and_official_name_lineage,2009|2012|2013|2014|2015|2016,폐교|2006-11-03 공학·디자인대학원으로 통합 명칭변경,6,25,6,표지 없음,건축공학과|전자정보통신공학과|철도건설환경공학과|컴퓨터과학과,retain_predecessor_open_id_separately_no_unique_successor_auto_join,"2009년 EDSS와 KEDI 우송대학교 공학대학원 폐교 행의 졸업생 7명이 일치하고, 2012~2016년 핵심 활동값은 0이다. 건축공학과·전자정보통신공학과·철도건설환경공학과·컴퓨터과학과가 확인되며 일부는 폐과다. 공식 연혁은 2006-11-03 공학대학원과 디자인대학원을 공학·디자인대학원으로 변경했다고 명시한다. 후속 명칭의 EDSS ID가 둘이므로 특정 ID와 자동 조인하지 않는다."
22,2012388527,2016,2019,4,2025,unmatched,confirmed_identity_closed_school_residual_id,경남대학교 북한대학원,confirmed_kedi_metric_location_and_department_context,2016|2017|2018|2019,기존|폐교,2,168,0,폐과,경제|군사안보|문화언론|사회|정보통신|정치통일|통일교육,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 졸업생 수가 2016~2019년 1·3·0·0명으로 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 경남대학교 북한대학원 행과 핵심 수치가 일치한다. 경제·군사안보·정치통일 등 7개 학과는 후속 패널에서 모두 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
23,2037459135,2009,2011,3,2011,unmatched,confirmed_identity_closed_name_change_predecessor_id,부산외국어대학교 국제통상대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011,수동검토확정|KEDI·학과·공식이력 교차검증,11,102,0,표지 없음,아세안통상경영전공|중국통상경영전공,retain_predecessor_open_id_separately_no_auto_join,수동 전수검토에서 부산외국어대학교 국제통상대학원으로 확정했다. KEDI 국제통상대학원 폐교 0행이 3개 연도 일치하고 학과서명은 국제통상경영대학원과 일치하며 공식 요람이 2009학년도 명칭 적용을 확인. 후속 OpenID 7018181800과 명칭 계보만 연결 가능. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
24,4408170342,2009,2011,3,2011,unmatched,confirmed_identity_department_residual_id,신경대학교 일반대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011,수동검토확정|KEDI·학과·공식이력 교차검증,15,272,6,기존|변경|폐과,사회복지학과|생명공학과|인터넷정보통신학과,retain_historical_open_id_separately_no_auto_join,수동 전수검토에서 신경대학교 일반대학원으로 확정했다. KEDI 신경대학교 일반대학원 행이 3개 연도 위치·본교·핵심값과 전부 일치하고 세 학과가 후속 화성의과학대학교 학과서명과 일치. 대학 교명변경 계보는 연결하되 자동 병합 금지. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
25,4455055356,2019,2021,3,2021,unmatched,confirmed_identity_closed_school_residual_id,배재대학교 정보통신대학원,confirmed_manual_reviewed_kedi_identity,2019|2020|2021,수동검토확정|KEDI·학과·공식이력 교차검증,8,29,6,폐과,정보통신학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 배재대학교 정보통신대학원으로 확정했다. KEDI 폐교 행의 3개 연도 핵심값이 정확히 일치하고 배재대학교 공식 연혁에도 정보통신학과 인가가 확인됨. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
26,4468261480,2013,2015,3,2017,unmatched,confirmed_identity_department_residual_id,협성대학교 행정대학원,confirmed_final_manual_review_identity,2013|2014|2015,기존|2013~2015 동일연도 KEDI 문맥,1,6,0,기존,행정학과,retain_historical_open_id_separately_no_auto_join,최종 수동검토에서 협성대학교 행정대학원으로 확정했다. 2013~2015년 동일 지역 KEDI 행정대학원 문맥과 행정학과 서명이 일치한다. 협성대학교 공식 대학원 연혁과 자체평가 자료도 행정대학원 행정학과 운영을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
27,5609140694,2009,2011,3,2011,unmatched,confirmed_identity_closed_school_residual_id,부산외국어대학교국제경영지역학대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011,수동검토확정|KEDI·학과·공식이력 교차검증,28,887,1,폐과,국제경영전공|국제무역학과|아주지역전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 부산외국어대학교국제경영지역학대학원으로 확정했다. KEDI 폐교 행의 3개 연도 핵심값이 정확히 일치하고 학과 성격도 경영·지역학 조합과 부합. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
28,6058101713,2013,2015,3,2017,unmatched,confirmed_identity_department_residual_id,협성대학교 경영대학원,confirmed_final_manual_review_identity,2013|2014|2015,기존|2013~2015 동일연도 KEDI 문맥,1,6,0,기존,경영학과,retain_historical_open_id_separately_no_auto_join,최종 수동검토에서 협성대학교 경영대학원으로 확정했다. 2013~2015년 동일 지역 KEDI 경영대학원 문맥과 경영학과 서명이 일치한다. 협성대학교 공식 대학원 연혁과 자체평가 자료도 경영대학원 경영학과 운영을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
29,6565308511,2018,2020,3,2021,unmatched,confirmed_identity_closed_school_residual_id,수원대학교 인공지능대학원,confirmed_manual_reviewed_kedi_identity,2018|2019|2020,수동검토확정|KEDI·학과·공식이력 교차검증,2,15,0,폐과,인공지능공학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 수원대학교 인공지능대학원으로 확정했다. KEDI에서 금융공학대학원과 인공지능대학원 0행이 겹치지만 인공지능공학과가 후자를 유일하게 지시하고 신설→폐교 흐름도 일치. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
30,7059025943,2009,2011,3,2011,unmatched,confirmed_identity_closed_school_residual_id,서울여자대학교사회복지대학원,confirmed_kedi_metric_location_and_department_context,2009|2010|2011,폐교,33,1049,0,폐과,노인복지전공|사회복지전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2010년 졸업생 4명만 비영인 잔존 실적이 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 서울여자대학교사회복지대학원 행과 핵심 수치가 일치한다. 노인복지전공과 사회복지전공은 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
31,7638497352,2009,2011,3,2012,unmatched,confirmed_identity_closed_name_change_predecessor_id,부산대학교 국제대학원,confirmed_final_manual_review_identity,2009|2010|2011,폐교|2009~2011 동일연도 KEDI 문맥|1997 신설·2004 국제전문대학원 신설,1,200,0,표지 없음,,retain_predecessor_open_id_separately_no_auto_join,최종 수동검토에서 부산대학교 국제대학원으로 확정했다. 2009~2011년 동일 지역 KEDI 국제대학원 폐교 행과 0활동 문맥이 반복된다. 부산대학교 공식 디지털아카이브는 1997년 국제대학원과 2004년 국제전문대학원 신설을 확인한다. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
32,8251157879,2009,2011,3,2011,unmatched,confirmed_identity_closed_school_residual_id,서울여자대학교기독교대학원,confirmed_manual_reviewed_kedi_identity,2009|2010|2011,수동검토확정|KEDI·학과·공식이력 교차검증,32,1215,0,폐과,가족상담전공|기독교교육전공|선교학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 서울여자대학교기독교대학원으로 확정했다. KEDI 동일 대학원 폐교 행이 3개 연도 핵심값과 일치하고 세 전공의 기독교 계열 조합이 사회복지대학원 후보를 배제. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
33,8253922164,2009,2011,3,2012,unmatched,confirmed_identity_closed_school_residual_id,동명정보대학교 건축대학원,confirmed_kedi_metric_location_and_department_context,2009|2010|2011,폐교,4,338,0,표지 없음,건축공학과|건축학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 졸업생 수가 2009~2011년 5·1·0명으로 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 동명정보대학교 건축대학원 행과 핵심 수치가 일치한다. 건축공학과와 건축학과가 확인된다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
34,8523545861,2009,2011,3,2011,unmatched,confirmed_identity_closed_school_residual_id,고신대학교생활정보대학원,confirmed_kedi_metric_location_and_department_context,2009|2010|2011,폐교,16,164,0,폐과,시각영상디자인전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 2010년 졸업생 1명만 비영인 잔존 실적이 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 고신대학교생활정보대학원 행과 핵심 수치가 일치한다. 시각영상디자인전공은 폐과다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
35,9257303833,2015,2017,3,2017,unmatched,confirmed_identity_closed_school_residual_id,한신대학교 발전학대학원,confirmed_manual_reviewed_kedi_identity,2015|2016|2017,수동검토확정|KEDI·학과·공식이력 교차검증,8,53,6,표지 없음,발전학전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 한신대학교 발전학대학원으로 확정했다. KEDI의 발전학대학원·국제평화인권대학원 0행이 겹치지만 발전학전공이 전자를 직접 지시. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
36,9298671543,2009,2011,3,2012,unmatched,confirmed_identity_closed_school_residual_id,서경대학교경영행정대학원,confirmed_kedi_metric_location_and_department_context,2009|2010|2011,폐교,1,200,0,표지 없음,미용경영학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,EDSS에서 졸업생 수가 2009~2011년 1·3·0명으로 KEDI와 일치한다. 같은 연도·지역·학교유형의 KEDI 서경대학교경영행정대학원 행과 핵심 수치가 일치한다. 미용경영학과가 확인된다. 따라서 학교명은 확정하되 폐교 잔존 OpenID로 별도 보존하고 다른 대학원과 자동 조인하지 않는다.
37,9437484979,2013,2016,3,2016,unmatched,confirmed_identity_closed_school_residual_id,영산대학교 원자력경영대학원,confirmed_manual_reviewed_kedi_identity,2013|2014|2015|2016,수동검토확정|KEDI·학과·공식이력 교차검증,9,41,2,폐과,원자력경영전공,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 영산대학교 원자력경영대학원으로 확정했다. KEDI 동일 대학원이 제2캠퍼스에서 신설→기존→폐교로 변하며 EDSS 연도·캠퍼스·핵심값과 일치. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
38,1542901098,2009,2010,2,2011,unmatched,confirmed_identity_closed_school_residual_id,한림대학교 행정대학원,confirmed_manual_reviewed_kedi_identity,2009|2010,수동검토확정|KEDI·학과·공식이력 교차검증,1,1,0,폐과,행정학과,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,수동 전수검토에서 한림대학교 행정대학원으로 확정했다. KEDI 동일 대학원 폐교 행이 두 연도 위치·본교·핵심값과 모두 일치. 학교명만 기록하며 역사 OpenID는 별도 보존하고 자동 병합하지 않는다.
