review_order,open_id,first_year,last_year,year_count,identity_status,manual_classification,likely_entity_candidate,candidate_status,candidate_evidence_years,latest_panel_count,latest_row_count,latest_nonzero_measure_count,latest_department_status,excluded_candidates,safe_join_action,evidence_summary
11,2129314064,2024,2025,2,unmatched,confirmed_identity_active_id,안양대학교 대신신학대학원,confirmed_exact_kedi_official_and_metric_match,2024|2025,28,171,134,기존,,manual_join_kedi_53079G59_include_in_active_entity_analysis,"EDSS 2025년 28개 패널 171행에서 재적학생 27명·여학생 7명·입학생 9명·전임교원 3명·학과 1개와 실제 강의·연구·장학금 활동이 확인된다. KEDI 2024·2025 안양대학교 대신신학대학원의 재적·입학·교원·학과 수가 모두 일치하고 2025 학교코드는 53079G59이다. 안양대학교 공식 소개와 2026학년도 모집요강에서도 대신신학대학원의 운영과 목회학과·신학과 모집이 확인된다. EDSS의 세부 지역명과 panel_0101 입학생 0 때문에 자동매칭이 실패했으나 panel_0306 입학생 수는 KEDI와 일치하므로 수동 연결하고 활성기관 분석에 포함한다."
12,2191869616,2024,2025,2,unmatched,confirmed_identity_active_id,포항공과대학교 친환경소재대학원,confirmed_exact_kedi_official_and_metric_match,2024|2025,32,368,285,기존|폐과,,manual_join_kedi_53110G63_include_in_active_entity_analysis,"EDSS 2025년 32개 패널 368행에서 재적학생 141명·여학생 36명·입학생 81명·여학생 28명·전임교원 14명이 확인된다. KEDI의 포항공과대학교 친환경소재대학원과 재적·입학·교원 수가 정확히 일치하고 학교코드는 53110G63이다. 배터리공학과와 친환경소재대학원은 기존, 이차전지전공과 철강전공은 폐과로 섞여 있으나 실질 활동이 충분하며 공식 입학전형도 계속 운영되므로 활성기관으로 연결한다."
13,2261310935,2024,2025,2,unmatched,confirmed_identity_active_id,한국항공대학교 항공우주정책대학원,confirmed_exact_kedi_official_and_metric_match,2024|2025,24,144,116,기존,,manual_join_kedi_53114G80_include_in_active_entity_analysis,"EDSS 2025년 재적학생 35명·여학생 15명·입학생 24명·여학생 8명·학과 2개가 KEDI 한국항공대학교 항공우주정책대학원과 정확히 일치하고 학교코드는 53114G80이다. 항공우주법전공이 기존·야간으로 확인되며 학교 공식 학칙과 2025학년도 모집자료에서도 운영이 확인되므로 활성기관으로 연결한다."
14,3052990674,2024,2025,2,unmatched,confirmed_identity_name_change_closed_department_residual_id,동덕여자대학교 디자인전문대학원,confirmed_kedi_name_transition_department_and_official_match,2024|2025,8,43,3,폐과,동덕여자대학교 스타트업대학원,manual_join_kedi_53042821_exclude_from_active_performance_analysis_keep_2024_name_history,"EDSS의 엔터디자인학과와 예체능계열이 2024 KEDI 동덕여자대학교 엔터테인먼트디자인전문대학원에 고유하게 대응하고 2025 KEDI에는 동덕여자대학교 디자인전문대학원(53042821)으로 나타난다. 2025 EDSS는 학생·입학생·졸업생·교원·학과 수가 모두 0이고 편제정원 31명·입학정원 31명·수업료 5,890,000원만 남으며 엔터디자인학과는 폐과다. 동일 지역의 스타트업대학원은 학과명이 달라 제외하고, 명칭변경·폐과 잔존 ID로 연결하되 실적 분석에서 제외한다."
15,4122049450,2024,2025,2,unmatched,confirmed_identity_active_id,고려대학교 융합데이터과학대학원,confirmed_exact_kedi_official_and_metric_match,2024|2025,20,153,107,기존,한성대학교행정대학원,manual_join_kedi_53018G65_include_in_active_entity_analysis,"EDSS 2025년 재적학생 84명·여학생 39명·입학생 47명·여학생 20명·학과 2개가 KEDI 고려대학교 융합데이터과학대학원과 정확히 일치하고 학교코드는 53018G65이다. 같은 지역의 한성대학교행정대학원은 입학생 수가 달라 제외했다. 고려대학교 공식 자료에서 2023년 12월 개원과 2025학년도 모집·운영이 확인되므로 활성기관으로 연결한다."
16,5589808940,2024,2025,2,unmatched,confirmed_identity_zero_activity_id,고신대학교 국제융합대학원,confirmed_exact_kedi_department_and_official_match,2024|2025,10,112,6,기존,,manual_join_kedi_53019G62_exclude_from_active_performance_analysis,"EDSS의 글로벌경영학과·글로벌교육학과·글로벌융합예술학과·글로벌체육학과 조합이 KEDI 고신대학교 국제융합대학원(53019G62)과 정확히 대응하고 학교 공식 대학원 목록과 학칙에서도 확인된다. 다만 2025년 학생·입학생·졸업생·교원·직원·학과 수는 모두 0이고 학교수 표식 6개만 비영 값이므로 신원은 확정하되 실적 기반 활성기관 분석에서는 제외한다."
17,1268632888,2025,2025,1,unmatched,confirmed_identity_active_new_id,서울신학대학교 성서대학원,confirmed_kedi_department_official_and_metric_match_with_source_region_error,2025,16,80,44,신설,청운대학교 스마트시티전문대학원,manual_join_kedi_53060H01_include_in_active_entity_analysis_flag_source_region_error,"EDSS 지역명은 원천코드오류지만 시도는 경기이고 신학과·2년 석사과정·재적학생 8명·입학생 8명·학과 1개가 KEDI 서울신학대학교 성서대학원(53060H01)과 정확히 일치한다. 청운대학교 후보는 학과 수와 전임교원 수가 다르며 신학과 정보도 맞지 않아 제외했다. 2025·2026 공식·협회 자료에서도 성서대학원 운영이 확인되므로 지역 오류 플래그를 유지한 채 활성 신설기관으로 연결한다."
18,1662284612,2025,2025,1,unmatched,confirmed_identity_new_school_zero_activity_id,영산대학교 글로벌물류경영대학원,confirmed_kedi_department_and_official_match,2025,9,64,6,신설,,manual_join_kedi_53153H08_exclude_from_2025_active_performance_analysis,"EDSS의 글로벌물류경영전공·스마트물류경영전공과 사회계열·야간 정보가 KEDI 영산대학교 글로벌물류경영대학원(53153H08) 및 학교 공식 연혁과 정확히 일치한다. 2025년 학생·입학생·졸업생·교원·학과 수는 모두 0이고 학교수 표식만 남아 있으므로 신원은 확정하되 2025 실적 분석에서 제외한다."
19,1865974783,2025,2025,1,unmatched,confirmed_identity_new_school_zero_activity_id,영산대학교 게임대학원,confirmed_kedi_department_and_official_match,2025,9,44,6,신설,,manual_join_kedi_53153F26_exclude_from_2025_active_performance_analysis,"EDSS의 게임VR전공과 공학계열·야간 정보가 KEDI 영산대학교 게임대학원(53153F26) 및 학교 공식 연혁과 정확히 일치한다. 2025년 학생·입학생·졸업생·교원·학과 수는 모두 0이고 학교수 표식만 남아 있으므로 신원은 확정하되 2025 실적 분석에서 제외한다."
20,2656573057,2025,2025,1,unmatched,confirmed_identity_active_new_id,동명대학교 국제대학원,confirmed_exact_kedi_official_and_metric_match,2025,17,146,74,신설,국립부경대학교 글로벌수산대학원,manual_join_kedi_53152628_include_in_active_entity_analysis,"EDSS 2025년 재적학생 46명·여학생 11명·입학생 46명·여학생 11명·학과 1개가 KEDI 동명대학교 국제대학원과 정확히 일치하고 학교코드는 53152628이다. 같은 지역의 국립부경대학교 후보는 입학생·학과 수가 다르다. 동명대학교 공식 2025학년도 모집자료와 현재 대학원 페이지에서도 운영이 확인되어 활성 신설기관으로 연결한다."
21,3608931064,2025,2025,1,unmatched,confirmed_identity_active_name_change_successor_id,아주대학교 교통·모빌리티대학원,confirmed_exact_kedi_official_and_metric_match,2025,20,173,111,신설,아주대학교 교통·ITS대학원,manual_join_kedi_53078H10_include_in_active_entity_analysis_keep_predecessor_7681005537_separate,"EDSS 2025년 재적학생 122명·여학생 23명·입학생 43명·여학생 9명·학과 3개가 KEDI 아주대학교 교통·모빌리티대학원(53078H10)과 정확히 일치한다. 아주대학교 공식 자료는 2025년 전기까지 교통·ITS대학원, 후기부터 교통·모빌리티대학원 명칭을 사용한다. 활성 후속 ID로 연결하되 종전 개방ID 7681005537과는 이력 관계만 보존한다."
22,4126457929,2025,2025,1,unmatched,confirmed_identity_active_new_id,경남대학교 AI·SW융합전문대학원,confirmed_exact_kedi_official_and_metric_match,2025,22,191,150,신설,,manual_join_kedi_53009H16_include_in_active_entity_analysis,"EDSS 2025년 재적학생 38명·여학생 1명·입학생 38명·여학생 1명·전임교원 5명·학과 4개가 KEDI 경남대학교 AI·SW융합전문대학원과 모두 정확히 일치하고 학교코드는 53009H16이다. 공식 2025학년도 학사편람과 현재 대학원 사이트에서도 운영이 확인되어 활성 신설기관으로 연결한다."
23,4404118061,2025,2025,1,unmatched,confirmed_identity_active_name_change_successor_id,서울장신대학교 영성치유대학원,confirmed_exact_kedi_official_and_metric_match,2025,16,62,57,신설,서울장신대학교 영성심리치유대학원,manual_join_kedi_53062H14_include_in_active_entity_analysis_keep_predecessor_7827780842_separate,"EDSS 2025년 재적학생 4명·여학생 3명·입학생 4명·여학생 3명·학과 1개가 KEDI 서울장신대학교 영성치유대학원(53062H14)과 정확히 일치한다. 종전 영성심리치유대학원은 입학생 0명·졸업생 8명으로 수치가 다르고 공식 학칙은 두 명칭의 경과를 구분한다. 활성 후속 ID로 연결하되 종전 개방ID 7827780842와는 이력 관계만 보존한다."
24,5479027271,2025,2025,1,unmatched,confirmed_identity_new_school_zero_activity_preopening_id,울산대학교 탄소중립기술융합대학원,confirmed_kedi_department_and_official_match,2025,9,64,12,신설,울산대학교 차세대이차전지융합대학원,manual_join_kedi_53087H20_exclude_from_2025_active_performance_analysis_treat_active_after_2025_09_01,"EDSS의 탄소중립기술융합전공·학과명이 KEDI 울산대학교 탄소중립기술융합대학원(53087H20)과 고유하게 대응한다. 2025 EDSS에는 정원 50명·수업료 4,109,000원·입학금 715,000원이 있으나 학생·입학생·졸업생·교원·학과 수는 모두 0이다. 울산대학교 공식 자료는 2025년 9월 1일 개원을 명시하므로 공시 시점상 개원 전 ID로 보고 2025 실적 분석에서는 제외하되 이후 활성기관으로 관리한다."
25,7558950543,2025,2025,1,unmatched,confirmed_identity_new_school_zero_activity_id,전남대학교 글로컬미래전략대학원,confirmed_kedi_department_and_official_match,2024|2025,9,44,11,기존,,manual_join_kedi_51016G87_exclude_from_2025_active_performance_analysis,"EDSS의 글로컬미래전략과정·사회계열·2.5년 석사·야간 정보와 광주 북구 소재가 KEDI 전남대학교 글로컬미래전략대학원(51016G87)에 고유하게 대응한다. EDSS에는 편제정원 100명·입학정원 50명·수업료 3,344,000원이 있으나 학생·입학생·졸업생·교원·학과 수는 모두 0이다. 전남대학교 공식 자료는 2024년 개설 추진과 교학규정을 확인하므로 신원은 확정하되 2025 실적 분석에서 제외한다."
26,7772252678,2025,2025,1,unmatched,confirmed_identity_new_school_zero_activity_preopening_id,울산대학교 차세대이차전지융합대학원,confirmed_kedi_department_and_official_match,2025,9,64,12,신설,울산대학교 탄소중립기술융합대학원,manual_join_kedi_53087H21_exclude_from_2025_active_performance_analysis_treat_active_after_2025_09_01,"EDSS의 차세대이차전지융합전공·학과명이 KEDI 울산대학교 차세대이차전지융합대학원(53087H21)과 고유하게 대응한다. 2025 EDSS에는 정원 50명·수업료 4,109,000원·입학금 715,000원이 있으나 학생·입학생·졸업생·교원·학과 수는 모두 0이다. 울산대학교 공식 자료는 2025년 9월 1일 개원을 명시하므로 공시 시점상 개원 전 ID로 보고 2025 실적 분석에서는 제외하되 이후 활성기관으로 관리한다."
27,8053887844,2025,2025,1,unmatched,confirmed_identity_active_new_id,글로벌사이버대학교 인문과학융합대학원,confirmed_exact_kedi_official_and_metric_match,2025,18,131,87,신설,고신대학교신학대학원,manual_join_kedi_83616G92_include_in_active_entity_analysis,"EDSS 2025년 재적학생 58명·여학생 23명·입학생 60명·여학생 25명·학과 2개가 KEDI 글로벌사이버대학교 인문과학융합대학원과 정확히 일치하고 학교코드는 83616G92이다. 고신대학교신학대학원은 재적·입학 규모가 크게 달라 제외했다. 학교 공식 2025학년도 신입생 모집 공고에서도 운영이 확인되어 활성 신설기관으로 연결한다."
28,9212916493,2025,2025,1,unmatched,confirmed_identity_active_name_change_successor_id,서울신학대학교 글로벌경영융합대학원,confirmed_kedi_department_official_and_name_change_match_with_source_region_error,2023|2024|2025,20,103,81,기존,성균관대학교 번역·테솔(TESOL)대학원,manual_join_kedi_53060H19_include_in_active_entity_analysis_keep_predecessor_1648801684_separate_flag_source_region_error,"EDSS 지역명은 원천코드오류지만 시도는 경기이고 글로벌경영융합학과·재적학생 12명·여학생 6명·학과 1개가 KEDI 서울신학대학교 글로벌경영융합대학원(53060H19)과 일치한다. 입학생은 EDSS 공시 5명·여학생 4명, KEDI 4명·3명으로 1명 차이가 있으나 학과명·지역·재적 규모와 KEDI 학교명변경 상태, 공식 2025학년도 교원·모집 자료가 후보를 확정한다. 종전 글로벌리더십경영융합대학원 개방ID 1648801684와는 이력 관계만 보존한다."
29,9457001805,2025,2025,1,unmatched,confirmed_identity_active_name_change_successor_id,명지대학교 테크노아트대학원,confirmed_exact_kedi_official_and_metric_match,2025,22,372,144,학교명변경,용인대학교 문화예술대학원,manual_join_kedi_53049G94_include_in_active_entity_analysis_keep_predecessor_1509512424_separate,"EDSS 2025년 재적학생 31명·여학생 14명·입학생 30명·여학생 13명·전임교원 1명·학과 9개가 KEDI 명지대학교 테크노아트대학원과 모두 정확히 일치하고 학교코드는 53049G94이다. 용인대학교 문화예술대학원은 재적·입학·학과 수가 다르다. 명지대학교 공식 연혁은 2025년 3월 산업대학원에서 테크노아트대학원으로의 명칭변경을 명시하므로 활성 후속 ID로 연결하고 종전 개방ID 1509512424와는 이력 관계만 보존한다."
